Pool,Protocol,Network,TVL (mm),15-day Fees APR,1 day farming APR,Total APR,Projected 1yr - Impermanent loss,Assets price change,Risk factor,Data Validation,Net Yield
3Pool Curve,curve,ethereum,2913.5,0.4%,2.57%,2.97%,0.0%,0.0%,0.0%,0.00,2.97%
AAVE / ETH,sushiswap,ethereum,140.7,1.94%,2.19%,4.13%,-4.44%,21.79%,0.0%,0.00,21.48%
AAVE / ETH,uniswap-v2,ethereum,33.3,2.11%,0.0%,2.11%,-4.26%,21.79%,0.0%,0.00,19.65%
AAVE/BNT,Bancor,ethereum,14.3,0.94%,0.0%,0.94%,-4.24%,21.18%,5.0%,0.00,17.88%
AGLD/WETH,Uniswap-v3,ethereum,22.8,79.15%,0.0%,79.15%,-42.09%,13.2%,0.0%,1.00,50.27%
ALPHA/BNT,Bancor,ethereum,5.4,2.19%,0.0%,2.19%,-2.97%,22.2%,0.0%,1.00,21.41%
AMP/BNT,Bancor,ethereum,9.8,11.5%,0.0%,11.50%,-4.08%,18.43%,0.0%,1.00,25.85%
ANT/BNT,Bancor,ethereum,1.1,0.44%,0.0%,0.44%,-2.83%,20.49%,0.0%,1.00,18.09%
ARCONA/BNT,Bancor,ethereum,0.8,2.88%,0.0%,2.88%,-14.71%,24.39%,0.0%,1.00,12.56%
ARMOR/BNT,Bancor,ethereum,0.7,1.27%,0.0%,1.27%,0.0%,24.39%,5.0%,1.00,25.66%
AXS (Legacy)/BNT,Bancor,ethereum,3.8,6.8%,0.0%,6.80%,0.0%,24.39%,0.0%,1.00,31.19%
AXS/BNT,Bancor,ethereum,4.5,15.01%,0.0%,15.01%,-25.83%,16.14%,22.5%,0.00,5.32%
AXS/WETH,Uniswap-v3,ethereum,15.8,118.35%,0.0%,118.35%,-18.95%,16.74%,17.5%,0.00,116.15%
Aave 3Pool Curve,curve,polygon,359.5,0.14%,2.06%,2.20%,0.0%,25.0%,0.0%,1.00,27.2%
Aave TriCrypto3 Curve,curve,polygon,59.8,9.62%,1.48%,11.09%,0.0%,23.08%,0.0%,1.00,34.18%
B-UMA-USDC,Balancer,ethereum,3.0,4.17%,9.0%,13.18%,-10.14%,7.43%,0.0%,1.00,10.46%
BAT/BNT,Bancor,ethereum,18.4,0.59%,0.0%,0.59%,-1.13%,22.25%,7.5%,0.00,21.71%
BBTC Curve,curve,ethereum,207.7,0.5%,0.29%,0.79%,0.0%,25.0%,0.0%,1.00,25.79%
BDIGG/BNT,Bancor,ethereum,0.7,1.35%,0.0%,1.35%,0.0%,24.39%,0.0%,1.00,25.74%
BIT / ETH,sushiswap,ethereum,152.2,2.89%,81.2%,84.09%,-92.65%,25.0%,0.0%,1.00,16.45%
BOND / USDC,uniswap-v2,ethereum,25.9,10.88%,0.0%,10.88%,-7.25%,12.5%,0.0%,1.00,16.13%
BOND/BNT,Bancor,ethereum,5.6,2.94%,0.0%,2.94%,-11.2%,24.39%,0.0%,1.00,16.14%
BORING/BNT,Bancor,ethereum,0.6,3.43%,0.0%,3.43%,-22.63%,24.39%,0.0%,1.00,5.18%
Balancer 33 AVAX 33 WETH 33 SOL,Balancer,polygon,1.5,15.91%,73.09%,89.00%,-21.32%,14.09%,6.6%,0.00,81.76%
Balancer 50 COMP 50 WETH,Balancer,ethereum,3.9,2.57%,13.69%,16.26%,-6.28%,19.3%,0.0%,0.00,29.28%
Balancer 50 LINK 50 WETH,Balancer,ethereum,19.0,0.89%,14.03%,14.92%,-3.14%,22.2%,2.5%,0.00,33.99%
Balancer 50 MATIC 50 WETH,Balancer,ethereum,4.8,0.92%,8.85%,9.76%,-3.62%,21.6%,5.0%,0.00,27.74%
Balancer 50 SNX 50 WETH,Balancer,ethereum,14.9,4.73%,7.17%,11.90%,-4.05%,22.62%,2.5%,0.00,30.47%
Balancer 50 SRM 50 WETH,Balancer,ethereum,34.3,2.01%,0.0%,2.01%,-5.99%,21.44%,0.0%,1.00,17.46%
Balancer 50 UNI 50 WETH,Balancer,ethereum,3.7,0.88%,0.0%,0.88%,-6.95%,19.44%,0.0%,0.00,13.37%
Balancer 50 USDC 50 WETH,Balancer,ethereum,38.0,9.95%,3.09%,13.05%,-8.08%,12.5%,0.0%,0.00,17.47%
Balancer 50 WBTC 50 WETH,Balancer,ethereum,296.2,1.68%,5.41%,7.09%,-1.88%,22.13%,0.0%,0.00,27.33%
Balancer 50 WETH 50 USDT,Balancer,ethereum,1.1,5.8%,11.34%,17.13%,-7.78%,12.5%,0.0%,0.00,21.85%
Balancer 50 WETH 50 YFI,Balancer,ethereum,16.4,0.56%,3.27%,3.83%,-3.14%,20.94%,2.5%,0.00,21.63%
Balancer 60 MKR 40 WETH,Balancer,ethereum,30.2,1.12%,8.84%,9.95%,0.0%,25.0%,0.0%,1.00,34.95%
Balancer 60 WETH 40 DAI,Balancer,ethereum,100.7,6.19%,15.92%,22.11%,-8.15%,12.5%,0.0%,0.00,26.46%
Balancer 80 BAL 20 WETH,Balancer,ethereum,148.8,0.28%,21.55%,21.83%,-0.96%,23.8%,0.0%,1.00,44.68%
Balancer 80 GNO 20 WETH,Balancer,ethereum,28.8,1.08%,3.72%,4.80%,-1.9%,22.23%,0.0%,1.00,25.12%
Balancer 80 LDO 20 WETH,Balancer,ethereum,5.4,2.76%,19.82%,22.59%,-10.03%,18.6%,0.0%,1.00,31.16%
Balancer Polygon 40MTA-40WMATIC-20ETH,Balancer,polygon,2.3,4.38%,42.36%,46.74%,-16.32%,22.73%,0.0%,1.00,53.15%
Balancer Polygon Base Pool,Balancer,polygon,29.9,10.46%,21.41%,31.87%,-12.4%,16.45%,0.0%,1.00,35.92%
Balancer Polygon DeFi Index,Balancer,polygon,7.5,4.08%,32.0%,36.07%,-10.1%,17.12%,1.0%,1.00,43.1%
Balancer Polygon SNX-GRT-USDC-WETH,Balancer,polygon,3.7,7.77%,21.53%,29.30%,-17.18%,16.38%,2.5%,0.00,28.5%
Balancer Polygon Stable Pool,Balancer,polygon,19.5,2.12%,15.27%,17.39%,0.0%,6.25%,0.0%,1.00,23.64%
Balancer Polygon Tricrypto,Balancer,polygon,14.1,7.92%,17.0%,24.91%,-6.56%,14.75%,0.0%,0.00,33.1%
Balancer Polygon WBTC-renBTC Stable Pool,Balancer,polygon,26.3,0.14%,4.06%,4.20%,0.0%,19.25%,0.0%,0.00,23.45%
Balancer USD Stable Pool,Balancer,ethereum,128.7,0.44%,12.46%,12.89%,0.0%,0.0%,0.0%,0.00,12.89%
Balancer stETH Stable Pool,Balancer,ethereum,372.1,0.04%,4.62%,4.66%,0.0%,25.0%,0.0%,1.00,29.66%
CEL/WETH,Uniswap-v3,ethereum,9.8,19.22%,0.0%,19.22%,-5.77%,25.0%,7.5%,0.00,38.45%
COMP / ETH,sushiswap,ethereum,27.3,21.21%,8.7%,29.91%,-6.26%,19.3%,0.0%,0.00,42.94%
COMP/BNT,Bancor,ethereum,5.5,3.75%,0.0%,3.75%,-5.4%,18.69%,5.0%,0.00,17.04%
CVX / ETH,sushiswap,ethereum,85.5,12.33%,49.48%,61.81%,-19.02%,17.4%,0.0%,1.00,60.19%
Comfy,Balancer,ethereum,4.2,1.36%,0.0%,1.36%,-7.06%,21.28%,0.0%,1.00,15.57%
DAI / ETH,sushiswap,ethereum,152.6,15.72%,8.5%,24.22%,-7.97%,12.5%,0.0%,0.00,28.75%
DAI / ETH,uniswap-v2,ethereum,81.6,9.28%,0.0%,9.28%,-8.17%,12.5%,0.0%,0.00,13.62%
DAI / USDC,uniswap-v2,ethereum,63.7,1.01%,0.0%,1.01%,0.0%,0.0%,0.0%,0.00,1.01%
DAI / wstETH,sushiswap,ethereum,37.2,2.73%,25.7%,28.43%,0.0%,12.5%,0.0%,1.00,40.93%
DAI/BNT,Bancor,ethereum,33.1,3.62%,0.0%,3.62%,-7.21%,11.89%,5.0%,0.00,8.3%
DAI/FRAX,Uniswap-v3,ethereum,14.0,2.7%,0.0%,2.70%,-0.24%,12.5%,0.0%,1.00,14.96%
DAI/USDC,Uniswap-v3,ethereum,93.0,4.9%,0.0%,4.90%,0.0%,0.0%,0.0%,0.00,4.9%
DAI/USDT,Uniswap-v3,ethereum,20.7,4.47%,0.0%,4.47%,0.0%,0.0%,0.0%,0.00,4.47%
DAI/WETH,Uniswap-v3,ethereum,46.7,33.12%,0.0%,33.12%,-7.87%,12.5%,0.0%,0.00,37.74%
DAPP/BNT,Bancor,ethereum,2.6,1.12%,0.0%,1.12%,0.0%,24.39%,0.0%,1.00,25.51%
DEXE/BNT,Bancor,ethereum,1.3,1.4%,0.0%,1.40%,0.0%,24.39%,0.0%,1.00,25.8%
DYDX/WETH,Uniswap-v3,ethereum,13.1,156.04%,0.0%,156.04%,-29.74%,13.41%,0.0%,1.00,139.71%
DeFi Revenue Leaders,Balancer,ethereum,1.6,0.29%,0.0%,0.29%,0.0%,19.13%,1.3%,1.00,19.41%
EDEN / ETH,sushiswap,ethereum,52.7,17.18%,39.61%,56.79%,-20.77%,15.27%,0.0%,1.00,51.28%
EDEN/BNT,Bancor,ethereum,9.2,7.06%,0.0%,7.06%,-21.41%,14.66%,0.0%,1.00,0.31%
ENJ/BNT,Bancor,ethereum,21.9,4.72%,0.0%,4.72%,-2.94%,22.23%,10.0%,0.00,24.02%
ERSDL/BNT,Bancor,ethereum,3.2,2.6%,0.0%,2.60%,0.0%,24.39%,0.0%,1.00,26.99%
ETH / AAVE,quickswap,polygon,27.0,5.91%,0.0%,5.91%,-3.61%,21.79%,0.0%,0.00,24.09%
ETH / ALCX,sushiswap,ethereum,141.8,1.35%,64.59%,65.94%,-1.79%,23.95%,0.0%,1.00,88.1%
ETH / RLY,uniswap-v2,ethereum,28.3,1.82%,0.0%,1.82%,-1.66%,22.72%,0.0%,1.00,22.88%
ETH / USDT,quickswap,polygon,28.6,19.08%,0.0%,19.08%,-8.25%,12.5%,0.0%,0.00,23.33%
ETH / USDT,sushiswap,ethereum,292.5,12.37%,6.81%,19.19%,-8.01%,12.5%,0.0%,0.00,23.68%
